dimension,image,elo,comparisons,url
atrakcyjna,623.jpg,1692.5356674935567,40,https://langtorch.org/static/gandalf/623.jpg
atrakcyjna,260.jpg,1692.5036152619869,20,https://langtorch.org/static/gandalf/260.jpg
atrakcyjna,1788.jpg,1692.3979032747275,20,https://langtorch.org/static/gandalf/1788.jpg
atrakcyjna,2639.jpg,1691.6533974125496,20,https://langtorch.org/static/gandalf/2639.jpg
atrakcyjna,1396.jpg,1691.1317218056201,20,https://langtorch.org/static/gandalf/1396.jpg
atrakcyjna,2707.jpg,1691.0547805562978,20,https://langtorch.org/static/gandalf/2707.jpg
atrakcyjna,1390.jpg,1690.4956387632988,20,https://langtorch.org/static/gandalf/1390.jpg
atrakcyjna,75.jpg,1690.4515547733486,20,https://langtorch.org/static/gandalf/75.jpg
atrakcyjna,2015.jpg,1689.6029519912447,10,https://langtorch.org/static/gandalf/2015.jpg
atrakcyjna,455.jpg,1689.3487236706899,40,https://langtorch.org/static/gandalf/455.jpg
atrakcyjna,1294.jpg,1689.2793337385606,20,https://langtorch.org/static/gandalf/1294.jpg
atrakcyjna,1721.jpg,1688.997557514055,20,https://langtorch.org/static/gandalf/1721.jpg
atrakcyjna,1499.jpg,1688.9485929219525,40,https://langtorch.org/static/gandalf/1499.jpg
atrakcyjna,796.jpg,1688.8477974425111,20,https://langtorch.org/static/gandalf/796.jpg
atrakcyjna,1168.jpg,1688.8461784690824,20,https://langtorch.org/static/gandalf/1168.jpg
atrakcyjna,541.jpg,1688.838257457819,20,https://langtorch.org/static/gandalf/541.jpg
atrakcyjna,214.jpg,1687.5703407484968,30,https://langtorch.org/static/gandalf/214.jpg
atrakcyjna,1025.jpg,1687.446811883716,50,https://langtorch.org/static/gandalf/1025.jpg
atrakcyjna,2913.jpg,1687.2984434902417,20,https://langtorch.org/static/gandalf/2913.jpg
atrakcyjna,380.jpg,1687.2792220636165,20,https://langtorch.org/static/gandalf/380.jpg
atrakcyjna,2401.jpg,1687.0115164541126,30,https://langtorch.org/static/gandalf/2401.jpg
atrakcyjna,778.jpg,1686.4174543612003,20,https://langtorch.org/static/gandalf/778.jpg
atrakcyjna,1416.jpg,1686.3841980100071,20,https://langtorch.org/static/gandalf/1416.jpg
atrakcyjna,2045.jpg,1685.871568729217,20,https://langtorch.org/static/gandalf/2045.jpg
atrakcyjna,1709.jpg,1685.2180247236047,20,https://langtorch.org/static/gandalf/1709.jpg
atrakcyjna,2546.jpg,1685.1416705621684,20,https://langtorch.org/static/gandalf/2546.jpg
atrakcyjna,176.jpg,1684.7115798282946,20,https://langtorch.org/static/gandalf/176.jpg
atrakcyjna,527.jpg,1684.5233982092448,20,https://langtorch.org/static/gandalf/527.jpg
atrakcyjna,1064.jpg,1684.188949839752,40,https://langtorch.org/static/gandalf/1064.jpg
atrakcyjna,715.jpg,1683.946594389339,20,https://langtorch.org/static/gandalf/715.jpg
atrakcyjna,1011.jpg,1683.520417582241,20,https://langtorch.org/static/gandalf/1011.jpg
atrakcyjna,375.jpg,1683.1571921797654,20,https://langtorch.org/static/gandalf/375.jpg
atrakcyjna,1457.jpg,1682.2421643611174,30,https://langtorch.org/static/gandalf/1457.jpg
atrakcyjna,359.jpg,1682.1699409325602,20,https://langtorch.org/static/gandalf/359.jpg
atrakcyjna,109.jpg,1681.8274603421505,20,https://langtorch.org/static/gandalf/109.jpg
atrakcyjna,2733.jpg,1681.4547204308456,40,https://langtorch.org/static/gandalf/2733.jpg
atrakcyjna,2944.jpg,1681.4132106915038,20,https://langtorch.org/static/gandalf/2944.jpg
atrakcyjna,2770.jpg,1681.286884445231,20,https://langtorch.org/static/gandalf/2770.jpg
atrakcyjna,438.jpg,1680.6703147870642,40,https://langtorch.org/static/gandalf/438.jpg
atrakcyjna,2350.jpg,1680.6360692064343,20,https://langtorch.org/static/gandalf/2350.jpg
atrakcyjna,2124.jpg,1680.3400220388432,60,https://langtorch.org/static/gandalf/2124.jpg
atrakcyjna,2950.jpg,1680.1226338375734,20,https://langtorch.org/static/gandalf/2950.jpg
atrakcyjna,2074.jpg,1679.8345154716437,40,https://langtorch.org/static/gandalf/2074.jpg
atrakcyjna,2486.jpg,1679.4090403795162,20,https://langtorch.org/static/gandalf/2486.jpg
atrakcyjna,1222.jpg,1679.0261981852714,30,https://langtorch.org/static/gandalf/1222.jpg
atrakcyjna,298.jpg,1678.7794368514496,20,https://langtorch.org/static/gandalf/298.jpg
atrakcyjna,2489.jpg,1678.6616978747836,20,https://langtorch.org/static/gandalf/2489.jpg
atrakcyjna,2246.jpg,1678.5969456315236,20,https://langtorch.org/static/gandalf/2246.jpg
atrakcyjna,2487.jpg,1678.3294820605558,40,https://langtorch.org/static/gandalf/2487.jpg
atrakcyjna,2247.jpg,1678.2950998553335,20,https://langtorch.org/static/gandalf/2247.jpg
atrakcyjna,2095.jpg,1678.2182722975704,40,https://langtorch.org/static/gandalf/2095.jpg
atrakcyjna,1234.jpg,1678.1879409101775,30,https://langtorch.org/static/gandalf/1234.jpg
atrakcyjna,1311.jpg,1678.1683735112192,20,https://langtorch.org/static/gandalf/1311.jpg
atrakcyjna,2528.jpg,1677.831463971463,30,https://langtorch.org/static/gandalf/2528.jpg
atrakcyjna,1043.jpg,1677.276888026612,30,https://langtorch.org/static/gandalf/1043.jpg
atrakcyjna,361.jpg,1676.9403539438683,20,https://langtorch.org/static/gandalf/361.jpg
atrakcyjna,63.jpg,1676.8526959837016,20,https://langtorch.org/static/gandalf/63.jpg
atrakcyjna,38.jpg,1676.829427428792,20,https://langtorch.org/static/gandalf/38.jpg
atrakcyjna,2945.jpg,1676.6117981790503,20,https://langtorch.org/static/gandalf/2945.jpg
atrakcyjna,779.jpg,1676.4809223954549,20,https://langtorch.org/static/gandalf/779.jpg
atrakcyjna,719.jpg,1676.4504099581686,20,https://langtorch.org/static/gandalf/719.jpg
atrakcyjna,97.jpg,1676.4055613368319,40,https://langtorch.org/static/gandalf/97.jpg
atrakcyjna,2804.jpg,1674.9735346803436,40,https://langtorch.org/static/gandalf/2804.jpg
atrakcyjna,1335.jpg,1674.9026352851538,40,https://langtorch.org/static/gandalf/1335.jpg
atrakcyjna,259.jpg,1674.2377640017658,20,https://langtorch.org/static/gandalf/259.jpg
atrakcyjna,236.jpg,1672.7391955722992,20,https://langtorch.org/static/gandalf/236.jpg
atrakcyjna,2964.jpg,1671.4720626361516,30,https://langtorch.org/static/gandalf/2964.jpg
atrakcyjna,575.jpg,1671.0018611468925,20,https://langtorch.org/static/gandalf/575.jpg
atrakcyjna,2960.jpg,1670.8597818640594,20,https://langtorch.org/static/gandalf/2960.jpg
atrakcyjna,1562.jpg,1670.8445241752945,20,https://langtorch.org/static/gandalf/1562.jpg
atrakcyjna,754.jpg,1670.4409037334774,20,https://langtorch.org/static/gandalf/754.jpg
atrakcyjna,44.jpg,1670.4398119101836,20,https://langtorch.org/static/gandalf/44.jpg
atrakcyjna,2481.jpg,1670.1837962719526,30,https://langtorch.org/static/gandalf/2481.jpg
