,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_val,cond_origin
71,ofensywa,-0.6831512013870636,-0.1469555569900491,0.16027370513462927,0.9474321111915812,1.7201414498806047,1.192667919854655,0.538544061186783,0.8840184033024716,-1.4995905462013066,1.5411786449804177,-0.11316317117410772,0.5228715332011696,-0.4551227157301326,1.0,1.0
72,pogrzeb,-2.1080994513764844,-0.824088293630176,-2.594574794396838,2.0975308558371775,-2.2330098397382687,-1.22652265607416,0.8371984115772128,-0.08907620270324018,1.0161506859913956,-0.14319920902368588,1.467818619867054,0.11174207563772375,0.9047469570954835,-1.0,-1.0
73,bandaż,-0.006427596640503495,0.3155136019488006,-0.6583098490118638,-0.9242972183296847,-0.45726273638005865,1.092907483733879,-0.05876463959407697,-1.0265377056627867,1.1782218408394662,-0.845952883210829,-1.2625327428511355,-0.2993873819257222,0.02107762146900243,-1.0,0.0
74,lekcja,0.3927635725800453,1.2274657250026542,-0.09159815767967582,-0.834093395220226,0.17693265767644567,1.6166497733679521,1.2047729966731269,0.1452891730366464,0.5461443369319915,-0.9909655461383344,-0.949449260566195,-0.2993873819257222,0.31056077847062696,-1.0,1.0
75,pościg,-0.3784932516005961,-0.2396124361012776,-0.3119860376421934,1.2856964478520507,0.7265686658587485,-0.5281996032287285,0.1479960645223742,0.13357090424965207,0.5137301059623774,-0.3551407933023484,0.17657374168614323,-0.2993873819257222,0.6954609961436397,0.0,-1.0
76,dezerter,-0.9111811493733014,-1.0216530839169704,-1.2407635317699452,0.34499943542484446,-1.563437559754806,-0.22077458579531456,-0.4263392246899911,0.2741901296935842,-0.765942352848661,1.7865846899346576,-0.3975124141671224,0.5228715332011696,-0.6152389390605115,0.0,0.0
77,belka,-0.09998324555638587,-0.09356325154922922,0.002853790875688149,-0.9468481741070494,-0.07674549994615606,0.8933866114923271,-1.0466213370393451,-1.2257482750416904,0.5461443369319915,-0.4778438157794679,-0.8488794230444551,-0.710516839489168,0.025780860928128212,0.0,1.0
78,odprężenie,1.6007389787698747,0.40658099737599895,1.8918927619829802,-1.1498067761033313,0.6842889729216481,-1.5507440734666813,1.779108285885492,1.4928900835409948,-0.5235252850652724,0.31414842020921663,1.522293948524663,1.3451304483280615,-0.2825112958705093,1.0,-1.0
79,makrela,-0.6469110688320019,-1.073148610555281,0.3806615850971468,-0.834093395220226,-0.4784025828486083,0.5442250850696124,-1.3452756874297753,-1.0851290495977584,0.7892510692040969,0.2249098584076746,-1.3966258595467886,0.11174207563772375,-0.980856174003729,1.0,0.0
80,skala,-0.4754836300952231,-1.115488864432552,0.16027370513462927,-1.172357731880696,0.4094709688304968,1.1677278108244615,-0.7020201635119262,0.6608929996643972,-0.5559395160348866,0.34761288088479414,-0.8458862731182129,-0.710516839489168,-0.15096143664413814,1.0,1.0
