,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_arousal,cond_origin
55,karetka,-0.16099101843247993,1.0902515673354085,-0.9259237032520634,1.6566366592103403,0.13465296473934538,0.045422904465732675,0.7912515884402235,-0.9796646305148093,0.999943570506589,-1.13597820906584,-0.6597123477059442,0.11174207563772375,0.03198636048587588,-1.0,0.0
56,kat,0.04764629327551581,-0.9425372293544743,-1.6028293345655096,2.2102856347240016,1.0648062093555508,0.09530312252612065,0.3317833570703313,-0.5343704166090246,0.5461443369319915,0.8495797910184676,-0.5226260810840488,-1.5327757546160599,0.4915773046554844,-1.0,1.0
57,skinienie,0.09790393394918477,0.18292252666320571,0.20749967941231195,-0.089911854567193,-0.03446580700905577,0.1451833405865086,-0.12768487429956088,0.3562180112025443,-0.18317585988432472,0.5037803640374932,0.6261448606077306,0.9340009907646155,0.15863951006218346,0.0,-1.0
58,magiel,-0.19336875892160144,-0.14259700144385837,-0.13882413195735852,-0.4234780754407078,-0.549587780140665,0.12024323155631408,-1.643930037820205,-0.7780625777099891,-0.44116667780573876,1.3515467011521412,-0.6944328868503546,-0.2993873819257222,-1.050253028061619,0.0,0.0
59,składowisko,-0.509404996257571,-1.1811439313108612,-0.4453110670655815,-0.4056252354502978,-0.5841018151913595,1.3825181375742905,-0.6101265172379476,-0.37031465359110416,-0.5883537470045007,0.8495797910184676,-1.2164382339870046,1.7562599058915074,-1.1022668431696347,0.0,1.0
60,tequila,0.3607154697203373,-0.8944478331615213,0.9788572592811223,0.7219225534179345,0.26149204355064626,-0.9521814567420257,-0.26552534371052866,-1.0499742432367754,0.22200202723585122,2.3889449820950657,1.397778911592985,0.11174207563772375,-1.9120414776910832,1.0,-1.0
61,jezioro,-0.012434326776496906,0.2731607692676448,1.3251810706507927,-1.3302144223222487,0.02895373239659419,0.09530312252612065,0.3317833570703313,-0.9679463617278151,1.2754645337483077,-1.359074613569695,0.8943310939990368,0.11174207563772375,1.1216633680467583,1.0,0.0
62,lód,-1.9107856916898207,-0.39550792195300644,0.16027370513462927,-0.47327810278239185,-0.44173142060724613,0.2948239947676725,-0.05876463959407697,-1.0265377056627867,1.0323578014762032,-1.4483131753712364,-0.8800081822773745,-1.5327757546160599,0.9989247438261697,1.0,1.0
63,poezja,1.592866743827424,1.688822950559249,0.7584693793186048,-1.3527653780996134,0.93796713054425,-1.5008638554062934,0.9520654694196864,0.9069766441912781,-0.5235252850652724,0.5260900044878781,2.575882722561938,-0.2993873819257222,0.5738691506073174,-1.0,-1.0
64,pszczoły,1.0742749136030618,1.3921749365278717,-0.13882413195735852,0.29345439364800635,0.2826318900191959,0.22000366767709004,-0.6101265172379476,-0.8859184802188547,1.0323578014762032,-1.3702294337948875,0.8464406951791608,0.5228715332011696,0.3733746976100614,-1.0,0.0
