POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency
poddasze,0.46206704246067426,0.002663134259315167,0.7584693793186048,-0.7213386163334031,-0.6475213545970094,1.0180871566432976,-0.839860632922894,-0.7101444484139399,0.7892510692040969,0.48147072358710713,0.05146007476921656,0.5228715332011696,-0.08129054914289624
odpowiedzialność,1.3661238047680717,2.0086730165669673,0.7584693793186048,0.09049579165172383,1.3819039063838026,1.6914701004585346,3.2264332147006525,2.207704479547649,-1.6094020225473447,0.7380315887665406,0.7219256582474829,3.811907193708737,0.9435281915928768
dąb,0.748935136692911,0.713859163382346,0.7742113707444993,-1.2400105992127899,1.4876031387265527,0.9432668295527151,-0.7479669866489155,-0.827327136283883,0.9351151085673608,-0.5559275573558174,-0.756091775330945,-1.5327757546160599,0.4051636969772547
sofa,1.4885807927617973,0.7432390563233252,0.7742113707444993,-1.5331730243185302,0.26149204355064626,-0.2289182948664006,-0.4952594593954745,-1.1367850915975686,1.0161506859913956,-0.3328311528519624,0.5010311936908038,-1.121646297052614,-0.6046323584037846
facet,-0.4095025211409438,-0.19083168282168972,0.7742113707444993,-0.27031950078610983,0.8111280517329491,-0.8274809115910563,1.4574805239265674,-0.6867079108399511,0.9189079930825533,-0.3997600742031194,1.5115186087901908,-0.710516839489168,1.5880327688782945
wizja,0.5429785562184836,1.1736867735053205,0.7742113707444993,0.022842924319630333,0.8956874376071496,0.5192849760394178,0.9980122925566747,1.961620835020768,-1.2042241354271686,0.5372448247130707,1.160721437434598,-0.710516839489168,0.7532201614082429
bilard,0.4325032201260855,0.6792328609876203,0.7742113707444993,-0.089911854567193,0.5151702011732471,0.22000366767709004,-0.5412062825324637,-0.7101444484139399,1.1782218408394662,-0.08742510789772238,-0.5345986807890178,-0.2993873819257222,-0.24967694187185285
królowa,0.5341781155987201,1.490927352188673,0.7742113707444993,0.27090343787064114,2.248637611594358,1.0430272656734911,0.07907582981689083,-0.3000050408691381,1.0485649169610098,-1.347919793344502,0.85841329488413,0.11174207563772375,1.372772846970684
makaron,1.23268025232733,0.12599898409005877,0.7742113707444993,-1.0596029529938726,0.07123342533369448,-0.17903807680601264,-0.5412062825324637,-1.073410780810764,1.1296004943850446,-1.4594679955964294,-0.1879919193301642,0.11174207563772375,-0.27969446288643895
powieść,0.932233866317954,1.136794714060789,0.7742113707444993,-0.5409309701144859,0.8111280517329491,0.6938657392507752,0.35475676863882594,0.20388051697161813,-0.23179720633874623,-0.04280582699695139,1.6186733761496637,0.11174207563772375,1.0843573878483497
prawość,0.5245282792176468,1.1524589937155454,0.7742113707444993,-0.11246281034455767,1.0436663628870002,0.9432668295527151,1.0209857041251698,2.0788035228907114,-2.354929334848468,1.641572027007152,0.338203837703225,0.11174207563772375,-0.35840453968364194
uczynek,1.448881027299318,1.157705403169292,0.7742113707444993,-0.33797236811820386,0.6208694335159982,-0.37855894904756454,1.5953209933375352,1.141342019931165,-1.593194907062537,-0.1989733101496494,1.8916486494229579,0.11174207563772375,0.09027758050151162
skrzypce,0.9355492340804564,1.4651449971588364,0.7742113707444993,-0.45072714700502714,0.7477085123272991,-0.2039781858362072,-0.5641796941009584,-0.8038905987098943,1.0647720324458172,-0.5001534562298539,0.820100975828229,0.5228715332011696,0.5010439491567832
galaretka,-0.5272601030325732,-0.4598375801272112,0.7742113707444993,-0.6311347932239445,-0.7109408940026595,-0.10421774971543124,-1.023647925470851,-0.9095941661354373,1.0809791479306239,-1.2363715910925743,0.8775694544120805,0.9340009907646155,-1.1303658166773813
równowaga,1.0266087407254048,1.6305567923648097,0.7742113707444993,-0.47327810278239185,0.6842889729216481,1.0180871566432976,1.57234758176904,1.0827506759961931,-0.6531822089437289,0.04643273480459061,0.3118641183522932,0.9340009907646155,0.07772035291649275
elektryczność,0.3590887522234548,1.540331471951144,0.7742113707444993,0.8346773323047574,0.9168272840756994,1.3921887920962068,0.5844908843237723,0.33278147362855565,-0.3128327837627811,0.14682611683132513,-0.3424384555242647,2.5785188210183994,0.07204046672790568
długodystansowiec,0.12279035408984666,1.230105853630994,0.7742113707444993,0.113046747429089,1.466463292258003,0.045422904465732675,-0.0817380511625716,0.23903532333260114,-0.4100754766716235,1.1619147573238646,0.08857513385462043,4.223036651272183,-2.061551120364735
laur,1.0872923760437607,1.0412351132961244,0.7754964312690662,-0.5409309701144859,1.5721625246007533,-0.15409796777581922,-0.40336581312149644,-0.22802138974903166,-0.3776612457020093,1.083831015747515,0.31964630816052325,-1.121646297052614,-0.8915448370562847
kuzyn,0.8358378989034666,0.25449854135360295,0.789953362170393,-0.90174626255232,-0.20444742963372195,-0.7526605845004738,-0.19660510900504477,-0.5695252229700077,-0.5235252850652724,-0.6117016584817809,-0.029953603224572866,-0.710516839489168,0.8276929489160454
malarz,1.0407945256050184,1.0889955303922967,0.789953362170393,-0.6762367047786738,0.5574498941103473,-0.5780798212891164,-0.6560733403749369,-0.6515531044789681,0.8702866466281326,-0.7678691416344794,0.1747778517303978,-0.2993873819257222,0.6920077979685448
miasto,0.4089841857074418,0.7806384608578883,0.789953362170393,-0.4958290585597565,0.7688483587958488,0.9682069385829096,1.411533700789578,-0.45234253510006456,0.8054581846889044,-1.225216770867382,0.0041683059345889095,-0.2993873819257222,1.9594577198373055
powiew,-0.2985011868627595,0.13510525192763367,0.789953362170393,-0.5409309701144859,0.0500935788651448,-0.06808004071250251,-0.5412062825324637,0.07497956031468062,-0.08593316697548313,-0.1766636696992644,0.616566780843755,-0.2993873819257222,0.7691423296469971
ptaszek,1.563507649099272,0.23223877552842395,0.789953362170393,-0.8115424394428619,-0.4784025828486083,-0.2039781858362072,-1.4601427452722486,-1.073410780810764,0.9837364550217815,-1.5375517371727785,0.09635732366285045,0.11174207563772375,0.30329206679120496
wzorzec,0.579887866877486,1.3547171236910132,0.789953362170393,-0.6311347932239445,1.4876031387265527,2.190272281062413,1.1588261735361376,0.754639149960352,-1.0259458650942908,0.8718894314688537,0.8314749455479495,0.11174207563772375,0.3975876967364854
obrotność,0.3664443443832583,1.524550494973563,0.789953362170393,-0.022258987235099,1.3607640599152528,0.6938657392507752,0.4007035917758152,1.5046083523279887,-1.7390589464258002,1.0392117348467442,-0.32148640604056883,0.9340009907646155,-1.3863080194174864
przedszkole,1.1737205839214224,0.6349381754567056,0.789953362170393,-0.45072714700502714,-0.7320807404712101,-0.6778402574098924,-0.5182328709639691,-0.47577907267405295,0.8378724156585184,-1.7160288607758625,0.21428743075679543,1.7562599058915074,-0.7489187971794634
harfa,0.8831746936092838,1.3287383513614246,0.8056953535962875,-1.2400105992127899,0.21921235061354596,-0.6778402574098924,-1.1385149833133237,-0.9210732865798377,0.9837364550217815,0.6487930269649986,0.8871475341760555,-0.710516839489168,-0.6152389390605115
mango,0.9879918818864486,-0.08344517617414832,0.8056953535962875,-0.5409309701144859,-0.37270335050585807,-0.0792776406852367,-1.2533820411557968,-1.073410780810764,0.594765683386413,0.42569662246114365,0.6135736309175129,-0.710516839489168,-0.690021379274617
rzeka,-0.46657646771421196,0.004460662684568855,0.8056953535962875,-0.33797236811820386,0.26149204355064626,-0.0792776406852367,0.07907582981689083,-0.8156088674968887,0.9837364550217815,-1.13597820906584,0.03050802528552066,-0.710516839489168,1.1845781314507549
śnieg,-0.8921089672714555,-0.22105100127526742,0.8056953535962875,-0.3605233238955685,-0.3304236575687578,0.1950635586468966,0.17096947609086885,-0.9796646305148093,1.344923600111762,-1.816422242802597,0.5088133834990338,-0.710516839489168,1.5322370433229295
tango,1.5182074834054429,1.4828328918886096,0.8056953535962875,0.6091677745311107,0.6631491264530985,-0.8524210206212497,-0.7249935750804208,-0.08907620270324018,0.8054581846889044,0.1802905775069036,1.6055035164741978,-0.710516839489168,-0.2444007096167825
krokus,0.6222963583416729,0.5357810367808981,0.8056953535962875,-1.0596029529938726,0.0500935788651448,-0.2289182948664006,-1.184461806450313,-0.8156088674968887,0.7164844282518997,-0.07627028767252989,0.48726270403008964,-0.2993873819257222,-0.9493492904925236
suknia,1.210854460470097,0.6976702427822135,0.8056953535962875,-0.157564721899287,0.34605142942484685,-0.2787985129267886,0.4696238264812986,-0.9215515832650198,1.113393378900238,-0.7790239618596724,1.1535378776116167,-0.2993873819257222,0.5782000457811198
wygoić,0.8160549151510974,0.15506228335710798,0.8056953535962875,-0.47327810278239185,0.11912164896653286,-0.7277204754702804,0.17096947609086885,0.5437103117944538,-0.36145413021720263,-0.4220697146535044,0.7823872867575764,-0.2993873819257222,-1.5203029453928756
zombie,-1.5883042720838758,-1.1975127288065506,0.8056953535962875,0.0002919685422656653,0.9168272840756994,1.8411107546396985,1.1358527619676424,0.7312026123863633,-0.9611174031550624,-0.31052151240157144,-0.8213424437230262,-0.2993873819257222,-0.27689281505958896
warkocz,0.714336610607923,0.46643849354366246,0.8056953535962875,-1.0596029529938726,0.13465296473934538,-0.1291578587456247,-0.4263392246899911,-0.8859184802188547,1.1782218408394662,-0.924036624787178,-0.48371513204289934,0.11174207563772375,0.17645969287618274
malarstwo,1.4524362301765512,1.4735392522848285,0.8056953535962875,-0.45072714700502714,0.15579281120789507,-0.3286787309871766,-0.17363169743655013,0.49683723664647644,0.1247593343270089,-0.5001534562298539,1.8611185201752867,0.9340009907646155,0.008323498858602904
korona,0.2643147763183238,1.1230791007745662,0.8076229443831341,0.27090343787064114,2.0583789933774064,1.242548137915043,-0.7709403982174101,-0.7921723299229,1.1782218408394662,-0.9798107259131414,0.2705586493701502,-0.2993873819257222,0.4051636969772547
dwór,0.09968153538780666,0.5892044747613308,0.8214373450221812,-0.38307427967293317,1.0648062093555508,0.5442250850696124,-0.1506582858680555,-0.45234253510006456,0.7244226072648687,-0.7455595011840939,0.19692716118459036,-1.121646297052614,1.269274891688324
mapa,0.2423483863324216,1.4817164146058386,0.8214373450221812,-1.1949086876580606,0.7899882052643994,1.4420690101565947,0.8601718231457078,-0.9445098241538264,1.0809791479306239,-0.6117016584817809,-0.9243068011857601,-1.121646297052614,0.48709982355362835
talon,0.15135894863907473,-0.3501126738374308,0.8214373450221812,-0.5183800143371212,0.02895373239659419,0.7188058482809697,-1.0695947486078399,-0.7452992547749229,-0.4100754766716235,1.0043813778170814,-0.9452588506694558,-0.710516839489168,-0.9293581945839938
wybór,0.4878116150199747,1.5344699662166115,0.8214373450221812,0.22580152631591183,1.593302371069304,1.3921887920962068,2.100736047844417,1.2233699014401251,-1.4311237522144666,-0.6786305798329374,0.9356365629811803,-0.710516839489168,1.2230683906300672
łabędź,0.8521297678760047,0.5944658739563715,0.8214373450221812,-1.2400105992127899,0.17693265767644567,-0.37855894904756454,-0.8168872213543994,-1.003101168088798,1.2430503027786943,-1.2809908719933454,1.1972378665347536,-0.2993873819257222,-0.2365854583841236
kołyska,1.237346456103704,0.3067377897716225,0.8214373450221812,-1.420418245431707,-0.5418221222542592,-1.076882001892996,0.10204924138538547,-0.8742002114318603,0.9351151085673608,-1.2029071304169965,0.6764297793686003,0.11174207563772375,-0.8648874855915963
śliwka,0.6724132505143358,-0.23116907665034833,0.8236862009401639,-1.1949086876580606,-0.5206822757857086,0.6190454121601938,-1.3452756874297753,-0.9562280929408208,1.259257418263501,-1.3256101528941164,-0.4968849917183654,-0.2993873819257222,-0.6099085906588545
fiord,-0.2642976833196862,0.35689346414943923,0.826028759188065,-0.7615381461973968,0.31326309612668235,-0.06808004071249033,-0.6307557031361885,-0.7231093415399772,0.02717180917381208,2.3186933483364114,-0.28916038683715245,-0.710516839489168,-0.9596408032928132
komik,0.5932813155048648,0.6789907190128323,0.8371793364480757,0.518963951421653,0.6420092799845479,-1.276402874134547,-1.3223022758612808,-0.42890599752607583,0.35265122349092975,0.34761288088479414,0.7614352372738805,-0.710516839489168,-0.8915448370562847
