,0,1,2,3,4,5
142,41,flow,attractive,1,"('41', 'flow', 'attractive', '1')",75.47
143,49,vector,attractive,4,"('49', 'vector', 'attractive', '4')",80.83
144,46,vector,attractive,1,"('46', 'vector', 'attractive', '1')",9.38
145,14,flow,attractive,4,"('14', 'flow', 'attractive', '4')",69.97
146,29,vector,attractive,4,"('29', 'vector', 'attractive', '4')",80.43
147,12,flow,attractive,2,"('12', 'flow', 'attractive', '2')",80.97
148,45,vector,attractive,0,"('45', 'vector', 'attractive', '0')",80.7
149,5,vector,attractive,0,"('5', 'vector', 'attractive', '0')",29.09
150,8,vector,trustworthy,3,"('8', 'vector', 'trustworthy', '3')",39.68
151,49,vector,trustworthy,4,"('49', 'vector', 'trustworthy', '4')",39.54
152,19,vector,trustworthy,4,"('19', 'vector', 'trustworthy', '4')",22.52
153,27,vector,trustworthy,2,"('27', 'vector', 'trustworthy', '2')",49.73
154,23,flow,trustworthy,3,"('23', 'flow', 'trustworthy', '3')",60.05
155,17,vector,trustworthy,2,"('17', 'vector', 'trustworthy', '2')",19.17
156,32,flow,trustworthy,2,"('32', 'flow', 'trustworthy', '2')",49.73
157,2,flow,trustworthy,2,"('2', 'flow', 'trustworthy', '2')",39.95
158,5,vector,trustworthy,0,"('5', 'vector', 'trustworthy', '0')",29.62
159,12,flow,trustworthy,2,"('12', 'flow', 'trustworthy', '2')",19.03
160,26,vector,trustworthy,1,"('26', 'vector', 'trustworthy', '1')",50.0
161,29,vector,trustworthy,4,"('29', 'vector', 'trustworthy', '4')",0.0
162,15,vector,trustworthy,0,"('15', 'vector', 'trustworthy', '0')",18.63
163,43,flow,trustworthy,3,"('43', 'flow', 'trustworthy', '3')",60.32
164,31,flow,trustworthy,1,"('31', 'flow', 'trustworthy', '1')",59.12
165,22,flow,trustworthy,2,"('22', 'flow', 'trustworthy', '2')",19.17
166,18,vector,trustworthy,3,"('18', 'vector', 'trustworthy', '3')",50.0
167,33,flow,trustworthy,3,"('33', 'flow', 'trustworthy', '3')",60.32
168,41,flow,trustworthy,1,"('41', 'flow', 'trustworthy', '1')",59.65
169,3,flow,trustworthy,3,"('3', 'flow', 'trustworthy', '3')",58.18
170,28,vector,trustworthy,3,"('28', 'vector', 'trustworthy', '3')",50.8
171,36,vector,trustworthy,1,"('36', 'vector', 'trustworthy', '1')",39.54
172,45,vector,trustworthy,0,"('45', 'vector', 'trustworthy', '0')",60.32
173,47,vector,trustworthy,2,"('47', 'vector', 'trustworthy', '2')",18.1
174,44,flow,trustworthy,4,"('44', 'flow', 'trustworthy', '4')",39.95
175,10,flow,trustworthy,0,"('10', 'flow', 'trustworthy', '0')",28.95
176,40,flow,trustworthy,0,"('40', 'flow', 'trustworthy', '0')",54.96
177,30,flow,trustworthy,0,"('30', 'flow', 'trustworthy', '0')",60.72
178,34,flow,trustworthy,4,"('34', 'flow', 'trustworthy', '4')",70.51
179,4,flow,trustworthy,4,"('4', 'flow', 'trustworthy', '4')",54.42
180,0,flow,trustworthy,0,"('0', 'flow', 'trustworthy', '0')",35.79
181,24,flow,trustworthy,4,"('24', 'flow', 'trustworthy', '4')",29.36
182,48,vector,trustworthy,3,"('48', 'vector', 'trustworthy', '3')",60.59
183,13,flow,trustworthy,3,"('13', 'flow', 'trustworthy', '3')",50.0
184,20,flow,trustworthy,0,"('20', 'flow', 'trustworthy', '0')",44.64
185,6,vector,trustworthy,1,"('6', 'vector', 'trustworthy', '1')",44.5
186,39,vector,trustworthy,4,"('39', 'vector', 'trustworthy', '4')",8.45
187,9,vector,trustworthy,4,"('9', 'vector', 'trustworthy', '4')",29.22
188,25,vector,trustworthy,0,"('25', 'vector', 'trustworthy', '0')",29.62
189,7,vector,trustworthy,2,"('7', 'vector', 'trustworthy', '2')",29.22
190,35,vector,trustworthy,0,"('35', 'vector', 'trustworthy', '0')",49.73
191,38,vector,trustworthy,3,"('38', 'vector', 'trustworthy', '3')",34.05
192,16,vector,trustworthy,1,"('16', 'vector', 'trustworthy', '1')",40.08
193,42,flow,trustworthy,2,"('42', 'flow', 'trustworthy', '2')",49.87
194,1,flow,trustworthy,1,"('1', 'flow', 'trustworthy', '1')",65.15
195,21,flow,trustworthy,1,"('21', 'flow', 'trustworthy', '1')",60.19
196,37,vector,trustworthy,2,"('37', 'vector', 'trustworthy', '2')",43.97
197,11,flow,trustworthy,1,"('11', 'flow', 'trustworthy', '1')",45.04
198,14,flow,trustworthy,4,"('14', 'flow', 'trustworthy', '4')",45.04
199,46,vector,trustworthy,1,"('46', 'vector', 'trustworthy', '1')",44.91
200,34,flow,attractive,2,"('34', 'flow', 'attractive', '2')",24.84
201,39,vector,attractive,2,"('39', 'vector', 'attractive', '2')",29.33
202,37,vector,attractive,0,"('37', 'vector', 'attractive', '0')",34.14
203,0,vector,attractive,3,"('0', 'vector', 'attractive', '3')",0.09
204,24,flow,attractive,2,"('24', 'flow', 'attractive', '2')",17.01
205,19,vector,attractive,2,"('19', 'vector', 'attractive', '2')",68.79
206,40,vector,attractive,3,"('40', 'vector', 'attractive', '3')",30.38
207,43,flow,attractive,1,"('43', 'flow', 'attractive', '1')",14.6
208,38,vector,attractive,1,"('38', 'vector', 'attractive', '1')",18.01
209,23,flow,attractive,1,"('23', 'flow', 'attractive', '1')",17.23
210,13,flow,attractive,1,"('13', 'flow', 'attractive', '1')",11.56
211,49,vector,attractive,2,"('49', 'vector', 'attractive', '2')",14.02
212,27,vector,attractive,0,"('27', 'vector', 'attractive', '0')",0.81
213,47,vector,attractive,0,"('47', 'vector', 'attractive', '0')",0.0
214,11,vector,attractive,4,"('11', 'vector', 'attractive', '4')",0.0
215,3,flow,attractive,1,"('3', 'flow', 'attractive', '1')",0.0
216,14,flow,attractive,2,"('14', 'flow', 'attractive', '2')",0.0
217,29,vector,attractive,2,"('29', 'vector', 'attractive', '2')",35.05
218,7,vector,attractive,0,"('7', 'vector', 'attractive', '0')",0.0
219,35,flow,attractive,3,"('35', 'flow', 'attractive', '3')",30.7
220,9,vector,attractive,2,"('9', 'vector', 'attractive', '2')",20.5
221,36,flow,attractive,4,"('36', 'flow', 'attractive', '4')",60.19
222,26,flow,attractive,4,"('26', 'flow', 'attractive', '4')",11.76
223,30,vector,attractive,3,"('30', 'vector', 'attractive', '3')",0.0
224,33,flow,attractive,1,"('33', 'flow', 'attractive', '1')",100.0
225,46,flow,attractive,4,"('46', 'flow', 'attractive', '4')",0.0
226,10,vector,attractive,3,"('10', 'vector', 'attractive', '3')",0.0
227,31,vector,attractive,4,"('31', 'vector', 'attractive', '4')",5.98
228,25,flow,attractive,3,"('25', 'flow', 'attractive', '3')",20.58
229,48,vector,attractive,1,"('48', 'vector', 'attractive', '1')",13.88
230,42,flow,attractive,0,"('42', 'flow', 'attractive', '0')",0.0
231,41,vector,attractive,4,"('41', 'vector', 'attractive', '4')",0.0
232,45,flow,attractive,3,"('45', 'flow', 'attractive', '3')",62.62
233,16,flow,attractive,4,"('16', 'flow', 'attractive', '4')",64.01
234,28,vector,attractive,1,"('28', 'vector', 'attractive', '1')",58.6
235,15,flow,attractive,3,"('15', 'flow', 'attractive', '3')",49.36
236,4,flow,attractive,2,"('4', 'flow', 'attractive', '2')",56.05
237,1,vector,attractive,4,"('1', 'vector', 'attractive', '4')",51.59
238,8,vector,attractive,1,"('8', 'vector', 'attractive', '1')",0.0
239,32,flow,attractive,0,"('32', 'flow', 'attractive', '0')",0.0
240,2,flow,attractive,0,"('2', 'flow', 'attractive', '0')",0.0
241,6,flow,attractive,4,"('6', 'flow', 'attractive', '4')",100.0
242,17,vector,attractive,0,"('17', 'vector', 'attractive', '0')",0.0
243,5,flow,attractive,3,"('5', 'flow', 'attractive', '3')",0.0
244,20,vector,attractive,3,"('20', 'vector', 'attractive', '3')",43.31
245,22,flow,attractive,0,"('22', 'flow', 'attractive', '0')",52.9
246,18,vector,attractive,1,"('18', 'vector', 'attractive', '1')",0.0
247,12,flow,attractive,0,"('12', 'flow', 'attractive', '0')",0.0
248,21,vector,attractive,4,"('21', 'vector', 'attractive', '4')",100.0
249,44,flow,attractive,2,"('44', 'flow', 'attractive', '2')",0.0
250,28,vector,trustworthy,1,"('28', 'vector', 'trustworthy', '1')",36.62
251,19,vector,trustworthy,2,"('19', 'vector', 'trustworthy', '2')",39.81
252,7,vector,trustworthy,0,"('7', 'vector', 'trustworthy', '0')",40.13
253,15,flow,trustworthy,3,"('15', 'flow', 'trustworthy', '3')",38.54
254,43,flow,trustworthy,1,"('43', 'flow', 'trustworthy', '1')",38.85
255,48,vector,trustworthy,1,"('48', 'vector', 'trustworthy', '1')",41.72
256,38,vector,trustworthy,1,"('38', 'vector', 'trustworthy', '1')",35.99
257,36,flow,trustworthy,4,"('36', 'flow', 'trustworthy', '4')",28.03
258,33,flow,trustworthy,1,"('33', 'flow', 'trustworthy', '1')",29.94
259,18,vector,trustworthy,1,"('18', 'vector', 'trustworthy', '1')",25.48
260,32,flow,trustworthy,0,"('32', 'flow', 'trustworthy', '0')",49.04
261,22,flow,trustworthy,0,"('22', 'flow', 'trustworthy', '0')",32.8
262,12,flow,trustworthy,0,"('12', 'flow', 'trustworthy', '0')",29.68
263,9,vector,trustworthy,2,"('9', 'vector', 'trustworthy', '2')",0.0
264,11,vector,trustworthy,4,"('11', 'vector', 'trustworthy', '4')",0.0
265,6,flow,trustworthy,4,"('6', 'flow', 'trustworthy', '4')",0.0
266,46,flow,trustworthy,4,"('46', 'flow', 'trustworthy', '4')",0.0
267,23,flow,trustworthy,1,"('23', 'flow', 'trustworthy', '1')",0.0
268,14,flow,trustworthy,2,"('14', 'flow', 'trustworthy', '2')",0.0
269,26,flow,trustworthy,4,"('26', 'flow', 'trustworthy', '4')",0.0
270,34,flow,trustworthy,2,"('34', 'flow', 'trustworthy', '2')",0.0
271,44,flow,trustworthy,2,"('44', 'flow', 'trustworthy', '2')",0.0
272,29,vector,trustworthy,2,"('29', 'vector', 'trustworthy', '2')",0.0
273,30,vector,trustworthy,3,"('30', 'vector', 'trustworthy', '3')",0.0
274,27,vector,trustworthy,0,"('27', 'vector', 'trustworthy', '0')",0.0
275,40,vector,trustworthy,3,"('40', 'vector', 'trustworthy', '3')",0.0
276,37,vector,trustworthy,0,"('37', 'vector', 'trustworthy', '0')",0.0
277,1,vector,trustworthy,4,"('1', 'vector', 'trustworthy', '4')",0.0
278,31,vector,trustworthy,4,"('31', 'vector', 'trustworthy', '4')",0.0
279,17,vector,trustworthy,0,"('17', 'vector', 'trustworthy', '0')",8.79
280,2,flow,trustworthy,0,"('2', 'flow', 'trustworthy', '0')",0.0
281,24,flow,trustworthy,2,"('24', 'flow', 'trustworthy', '2')",0.0
282,45,flow,trustworthy,3,"('45', 'flow', 'trustworthy', '3')",0.0
283,35,flow,trustworthy,3,"('35', 'flow', 'trustworthy', '3')",0.0
284,5,flow,trustworthy,3,"('5', 'flow', 'trustworthy', '3')",0.0
285,4,flow,trustworthy,2,"('4', 'flow', 'trustworthy', '2')",0.0
286,49,vector,trustworthy,2,"('49', 'vector', 'trustworthy', '2')",0.0
287,3,flow,trustworthy,1,"('3', 'flow', 'trustworthy', '1')",0.0
288,47,vector,trustworthy,0,"('47', 'vector', 'trustworthy', '0')",0.0
289,21,vector,trustworthy,4,"('21', 'vector', 'trustworthy', '4')",0.0
290,20,vector,trustworthy,3,"('20', 'vector', 'trustworthy', '3')",0.0
291,10,vector,trustworthy,3,"('10', 'vector', 'trustworthy', '3')",100.0
292,39,vector,trustworthy,2,"('39', 'vector', 'trustworthy', '2')",0.0
293,13,flow,trustworthy,1,"('13', 'flow', 'trustworthy', '1')",0.0
294,0,vector,trustworthy,3,"('0', 'vector', 'trustworthy', '3')",0.0
295,25,flow,trustworthy,3,"('25', 'flow', 'trustworthy', '3')",0.0
296,41,vector,trustworthy,4,"('41', 'vector', 'trustworthy', '4')",0.0
297,16,flow,trustworthy,4,"('16', 'flow', 'trustworthy', '4')",0.0
298,8,vector,trustworthy,1,"('8', 'vector', 'trustworthy', '1')",0.0
299,42,flow,trustworthy,0,"('42', 'flow', 'trustworthy', '0')",0.0
300,33,vector,trustworthy,0,"('33', 'vector', 'trustworthy', '0')",38.74
301,17,vector,trustworthy,4,"('17', 'vector', 'trustworthy', '4')",55.5
302,38,flow,trustworthy,0,"('38', 'flow', 'trustworthy', '0')",51.34
303,22,flow,trustworthy,4,"('22', 'flow', 'trustworthy', '4')",70.51
304,42,flow,trustworthy,4,"('42', 'flow', 'trustworthy', '4')",51.74
305,47,vector,trustworthy,4,"('47', 'vector', 'trustworthy', '4')",29.49
306,27,vector,trustworthy,4,"('27', 'vector', 'trustworthy', '4')",40.35
307,29,flow,trustworthy,1,"('29', 'flow', 'trustworthy', '1')",69.84
308,49,flow,trustworthy,1,"('49', 'flow', 'trustworthy', '1')",80.83
309,9,flow,trustworthy,1,"('9', 'flow', 'trustworthy', '1')",60.86
310,39,flow,trustworthy,1,"('39', 'flow', 'trustworthy', '1')",51.07
311,28,flow,trustworthy,0,"('28', 'flow', 'trustworthy', '0')",60.59
312,7,vector,trustworthy,4,"('7', 'vector', 'trustworthy', '4')",64.75
313,14,vector,trustworthy,1,"('14', 'vector', 'trustworthy', '1')",50.0
314,15,vector,trustworthy,2,"('15', 'vector', 'trustworthy', '2')",30.29
315,40,flow,trustworthy,2,"('40', 'flow', 'trustworthy', '2')",54.69
316,34,vector,trustworthy,1,"('34', 'vector', 'trustworthy', '1')",66.22
317,43,vector,trustworthy,0,"('43', 'vector', 'trustworthy', '0')",45.44
318,31,flow,trustworthy,3,"('31', 'flow', 'trustworthy', '3')",60.86
319,6,vector,trustworthy,3,"('6', 'vector', 'trustworthy', '3')",59.52
