,features,rating,image,dim,level
275,"('20', 'vector', 'trustworthy', '0')",32.35880952380952,20,trustworthy,0
276,"('20', 'vector', 'trustworthy', '1')",44.840384615384615,20,trustworthy,1
277,"('20', 'vector', 'trustworthy', '2')",42.84307692307693,20,trustworthy,2
278,"('20', 'vector', 'trustworthy', '3')",45.81758620689655,20,trustworthy,3
279,"('20', 'vector', 'trustworthy', '4')",42.483,20,trustworthy,4
290,"('21', 'vector', 'attractive', '0')",47.551818181818184,21,attractive,0
291,"('21', 'vector', 'attractive', '1')",47.75119047619047,21,attractive,1
292,"('21', 'vector', 'attractive', '2')",47.732692307692304,21,attractive,2
293,"('21', 'vector', 'attractive', '3')",50.0874358974359,21,attractive,3
294,"('21', 'vector', 'attractive', '4')",51.59379310344828,21,attractive,4
295,"('21', 'vector', 'trustworthy', '0')",48.17545454545454,21,trustworthy,0
296,"('21', 'vector', 'trustworthy', '1')",53.09595238095238,21,trustworthy,1
297,"('21', 'vector', 'trustworthy', '2')",45.09538461538462,21,trustworthy,2
298,"('21', 'vector', 'trustworthy', '3')",47.676153846153845,21,trustworthy,3
299,"('21', 'vector', 'trustworthy', '4')",43.95862068965517,21,trustworthy,4
310,"('22', 'vector', 'attractive', '0')",55.55964285714286,22,attractive,0
311,"('22', 'vector', 'attractive', '1')",59.18666666666667,22,attractive,1
312,"('22', 'vector', 'attractive', '2')",58.131904761904764,22,attractive,2
313,"('22', 'vector', 'attractive', '3')",55.62961538461538,22,attractive,3
314,"('22', 'vector', 'attractive', '4')",56.29025641025641,22,attractive,4
315,"('22', 'vector', 'trustworthy', '0')",56.532500000000006,22,trustworthy,0
316,"('22', 'vector', 'trustworthy', '1')",55.81818181818182,22,trustworthy,1
317,"('22', 'vector', 'trustworthy', '2')",50.2802380952381,22,trustworthy,2
318,"('22', 'vector', 'trustworthy', '3')",48.856153846153845,22,trustworthy,3
319,"('22', 'vector', 'trustworthy', '4')",48.70717948717949,22,trustworthy,4
330,"('23', 'vector', 'attractive', '0')",61.30567567567567,23,attractive,0
331,"('23', 'vector', 'attractive', '1')",57.28107142857143,23,attractive,1
332,"('23', 'vector', 'attractive', '2')",62.13878787878787,23,attractive,2
333,"('23', 'vector', 'attractive', '3')",58.65785714285715,23,attractive,3
334,"('23', 'vector', 'attractive', '4')",53.45,23,attractive,4
335,"('23', 'vector', 'trustworthy', '0')",58.77594594594595,23,trustworthy,0
336,"('23', 'vector', 'trustworthy', '1')",61.791785714285716,23,trustworthy,1
337,"('23', 'vector', 'trustworthy', '2')",58.664848484848484,23,trustworthy,2
338,"('23', 'vector', 'trustworthy', '3')",57.65095238095238,23,trustworthy,3
339,"('23', 'vector', 'trustworthy', '4')",51.77192307692307,23,trustworthy,4
350,"('24', 'vector', 'attractive', '0')",39.51285714285714,24,attractive,0
351,"('24', 'vector', 'attractive', '1')",39.535135135135135,24,attractive,1
352,"('24', 'vector', 'attractive', '2')",40.66857142857143,24,attractive,2
353,"('24', 'vector', 'attractive', '3')",41.30878787878788,24,attractive,3
354,"('24', 'vector', 'attractive', '4')",36.358333333333334,24,attractive,4
355,"('24', 'vector', 'trustworthy', '0')",42.59457142857143,24,trustworthy,0
356,"('24', 'vector', 'trustworthy', '1')",42.854864864864865,24,trustworthy,1
357,"('24', 'vector', 'trustworthy', '2')",46.75964285714286,24,trustworthy,2
358,"('24', 'vector', 'trustworthy', '3')",37.90424242424242,24,trustworthy,3
359,"('24', 'vector', 'trustworthy', '4')",35.49190476190476,24,trustworthy,4
370,"('25', 'vector', 'attractive', '0')",22.36025,25,attractive,0
371,"('25', 'vector', 'attractive', '1')",32.18971428571428,25,attractive,1
372,"('25', 'vector', 'attractive', '2')",32.87864864864865,25,attractive,2
373,"('25', 'vector', 'attractive', '3')",37.17214285714285,25,attractive,3
374,"('25', 'vector', 'attractive', '4')",36.056666666666665,25,attractive,4
375,"('25', 'vector', 'trustworthy', '0')",44.011,25,trustworthy,0
376,"('25', 'vector', 'trustworthy', '1')",48.30228571428571,25,trustworthy,1
377,"('25', 'vector', 'trustworthy', '2')",53.42108108108108,25,trustworthy,2
378,"('25', 'vector', 'trustworthy', '3')",60.800000000000004,25,trustworthy,3
379,"('25', 'vector', 'trustworthy', '4')",56.419393939393935,25,trustworthy,4
390,"('26', 'vector', 'attractive', '0')",43.04666666666667,26,attractive,0
391,"('26', 'vector', 'attractive', '1')",47.263,26,attractive,1
392,"('26', 'vector', 'attractive', '2')",54.85628571428572,26,attractive,2
393,"('26', 'vector', 'attractive', '3')",58.30891891891891,26,attractive,3
394,"('26', 'vector', 'attractive', '4')",48.863214285714285,26,attractive,4
395,"('26', 'vector', 'trustworthy', '0')",55.78099999999999,26,trustworthy,0
396,"('26', 'vector', 'trustworthy', '1')",63.503,26,trustworthy,1
397,"('26', 'vector', 'trustworthy', '2')",61.706,26,trustworthy,2
398,"('26', 'vector', 'trustworthy', '3')",64.5681081081081,26,trustworthy,3
